date,venue_id,event_type,title,start_hour,post_pu_trips,post_pu_lift_pct,avg_wait_sec,med_wait_sec,n_wait,base_avg_wait_sec,base_med_wait_sec,base_n,avg_wait_min,base_avg_wait_min,med_wait_min,base_med_wait_min,avg_delta_min,med_delta_min,avg_lift_pct,med_lift_pct
2024-05-14,msg,NBA,IND @ NYK,19,6519,56.7,398.4409268929504,346.0,6128,346.1404057748763,295.0,1111158,6.640682114882507,5.7690067629146045,5.766666666666667,4.916666666666667,0.8716753519679026,0.8499999999999996,15.109626107068674,17.288135593220332
2022-10-26,msg,NBA,CHA @ NYK,19,6475,46.3,431.9080816326531,388.0,6125,361.48882358519074,308.0,1128403,7.198468027210884,6.024813726419846,6.466666666666667,5.133333333333334,1.1736543007910383,1.333333333333333,19.480341701592586,25.974025974025984
2023-10-25,msg,NBA,BOS @ NYK,19,6458,45.9,384.4843930635838,325.0,6055,361.48882358519074,308.0,1128403,6.408073217726397,6.024813726419846,5.416666666666667,5.133333333333334,0.3832594913065508,0.2833333333333332,6.361350055121084,5.519480519480524
2024-02-08,msg,NBA,DAL @ NYK,19,6413,32.1,399.3376967688484,356.0,6035,380.2594255724338,327.0,1208786,6.655628279480807,6.337657092873897,5.933333333333334,5.45,0.3179711866069095,0.4833333333333334,5.017172465270137,8.868501529051986
2024-01-25,msg,NBA,DEN @ NYK,19,6398,31.7,353.59804732748637,319.0,6043,380.2594255724338,327.0,1208786,5.893300788791439,6.337657092873897,5.316666666666666,5.45,-0.44435630408245785,-0.13333333333333375,-7.011365518372625,-2.4464831804281384
2024-01-17,msg,NBA,HOU @ NYK,19,6384,44.2,317.341131574581,279.0,6027,361.48882358519074,308.0,1128403,5.28901885957635,6.024813726419846,4.65,5.133333333333334,-0.7357948668434959,-0.4833333333333334,-12.212740513734188,-9.41558441558441
2023-02-04,msg,NBA,LAC @ NYK,19,6363,58.6,348.6277856804173,294.0,6327,364.1173103829525,291.0,1110686,5.810463094673621,6.068621839715875,4.9,4.85,-0.25815874504225356,0.05000000000000071,-4.253992947010521,1.0309278350515427
2024-02-01,msg,NBA,IND @ NYK,19,6350,30.8,341.4554108216433,296.0,5988,380.2594255724338,327.0,1208786,5.690923513694055,6.337657092873897,4.933333333333334,5.45,-0.6467335791798421,-0.5166666666666666,-10.204616149192326,-9.480122324159023
2023-11-01,msg,NBA,CLE @ NYK,19,6338,43.2,399.3454208129533,353.0,5929,361.48882358519074,308.0,1128403,6.655757013549222,6.024813726419846,5.883333333333334,5.133333333333334,0.6309432871293756,0.75,10.472411526394264,14.610389610389607
2024-11-13,msg,NBA,CHI @ NYK,19,6323,42.9,339.34781144781147,293.0,5940,361.48882358519074,308.0,1128403,5.655796857463525,6.024813726419846,4.883333333333334,5.133333333333334,-0.36901686895632135,-0.25,-6.124950674211204,-4.870129870129869
