date,AAR,BT,Bus,CBD Entries,CRZ Entries,LIRR,MNR,SIR,Subway
2020-07-17,16401,711817,29696,,,64806,35414,2427,1207265
2020-07-18,9785,649967,14335,,,41235,24071,786,778936
2020-07-19,7052,609862,9845,,,36429,18675,504,584994
2020-07-20,15957,672293,30196,,,67721,32279,2428,1156735
2020-07-21,16831,691059,32482,,,67594,33213,2725,1241819
2020-07-22,17582,683364,33863,,,65348,32485,2716,1233668
2020-07-23,17056,688709,33999,,,65637,32975,2632,1233795
2020-07-24,17311,719421,29987,,,65889,36639,2511,1218138
2020-07-25,10350,671119,14777,,,43340,25173,799,816604
2020-07-26,7429,609707,9711,,,36164,20170,542,606910
2020-07-27,16607,693677,32072,,,70114,31568,2626,1203503
2020-07-28,16892,681857,33753,,,66687,31677,2635,1241770
2020-07-29,18216,714559,35257,,,69995,33733,2778,1296102
2020-07-30,17333,717003,33982,,,68958,34122,2746,1270172
2020-07-31,17654,747216,29917,,,67648,38040,2429,1258539
2020-08-01,10685,695946,16087,,,44405,26261,904,842468
2020-08-02,7431,561396,9874,,,30502,17885,615,590060
2020-08-03,17594,715550,36945,,,70779,32884,2955,1272996
2020-08-04,14924,507501,29426,,,36835,22286,1499,1027187
2020-08-05,18299,740063,38283,,,58005,26598,2824,1348202
2020-08-06,19117,739952,37059,,,66671,28283,3125,1334694
2020-08-07,17502,735101,32170,,,65969,32882,2741,1283894
2020-08-08,10613,630411,15143,,,41729,23513,806,833287
2020-08-09,8287,649493,11534,,,37616,20503,649,662993
2020-08-10,18178,720799,34883,,,73548,33500,2995,1275268
2020-08-11,18546,716441,36426,,,72436,33509,3164,1319814
2020-08-12,19346,696198,36053,,,68345,33736,3124,1298963
2020-08-13,18608,713144,34723,,,69223,33822,2971,1291277
2020-08-14,18113,777169,32713,,,72916,39342,3012,1355786
2020-08-15,11487,699313,15522,,,46806,27677,974,860789
2020-08-16,7902,537419,8603,,,29858,18164,529,554451
2020-08-17,17377,701456,34768,,,74453,35362,3058,1304485
2020-08-18,19274,729923,36646,,,74213,34361,2951,1369617
2020-08-19,19915,710695,34181,,,70104,34377,2783,1292148
2020-08-20,19344,775926,35059,,,75643,37078,2960,1410489
2020-08-21,19035,792319,31342,,,76062,41110,2769,1387463
2020-08-22,11456,708443,13705,,,49095,27784,871,882522
2020-08-23,8297,641684,9698,,,37891,22496,633,671560
2020-08-24,17643,710872,34021,,,75145,35904,2756,1307345
2020-08-25,18682,715798,34993,,,73331,35689,2845,1346490
2020-08-26,20659,748927,35975,,,76583,36621,3012,1407639
2020-08-27,19271,739049,33969,,,73060,35551,2856,1358272
2020-08-28,18845,787675,31956,,,76114,41222,2716,1388583
2020-08-29,9814,555413,14035,,,37641,22234,798,773667
2020-08-30,9752,706101,16027,,,45147,26520,825,748061
2020-08-31,18185,711594,787291,,,78122,37727,3184,1397264
2020-09-01,18929,704251,947758,,,76483,36035,3217,1469274
2020-09-02,19990,703330,972213,,,77585,36159,3192,1487969
2020-09-03,19992,758827,1022623,,,82554,39920,3327,1529185
2020-09-04,20223,817722,1030811,,,88345,47152,3148,1568385
2020-09-05,12118,694277,715922,,,50550,34621,21,1013725
2020-09-06,10160,655687,559273,,,44727,28565,191,819409
2020-09-07,9261,611390,615802,,,80050,27326,1210,870964
2020-09-08,19806,726886,1039401,,,90603,42963,3496,1555816
2020-09-09,21801,719499,1072887,,,86063,41954,3586,1610076
2020-09-10,20181,697793,997030,,,82142,39296,3403,1543662
2020-09-11,20809,781923,1070920,,,88582,47781,3442,1690334
2020-09-12,12349,693696,752875,,,44546,32400,29,1083698
2020-09-13,9315,611591,557231,,,36686,24009,4,796740
2020-09-14,19888,697572,1065601,,,89498,41286,3515,1604381
2020-09-15,20763,711338,1091806,,,87025,41288,3696,1678078
2020-09-16,22070,711372,1097389,,,87034,41417,3496,1686909
2020-09-17,21005,740052,1094592,,,86854,42339,3617,1692368
2020-09-18,20702,781132,1083295,,,90657,48213,3367,1725443
2020-09-19,12246,697698,752437,,,46777,34608,1001,1136947
2020-09-20,9269,615409,558863,,,38973,26328,760,827605
2020-09-21,19488,686709,1058256,,,89706,41901,3497,1624139
2020-09-22,21103,704257,1095678,,,87376,41389,3821,1698504
2020-09-23,22501,727921,1119904,,,88998,42506,3710,1735333
2020-09-24,21554,747851,1107707,,,89129,42969,3816,1722364
2020-09-25,21233,796850,1110956,,,92506,49819,3708,1761591
2020-09-26,12128,718420,755197,,,47169,35771,32,1120143
2020-09-27,9491,636532,576684,,,39994,28480,5,846179
2020-09-28,17678,658998,985185,,,89664,43237,3371,1489240
2020-09-29,20517,688012,1057135,,,88444,40515,3632,1661264
2020-09-30,21424,717050,1101663,,,89223,41967,3704,1740820
2020-10-01,22309,759870,1159859,,,86082,42390,4003,1809958
2020-10-02,21626,776683,1115793,,,87291,48883,3589,1790612
2020-10-03,12759,705741,777674,,,45018,36907,33,1168040
2020-10-04,10010,617011,570608,,,34976,27667,761,852830
2020-10-05,19971,681284,1102675,,,88694,42257,3587,1678792
2020-10-06,21475,698860,1137217,,,87748,43803,3866,1758454
2020-10-07,23027,710155,1123231,,,87119,43534,3791,1770617
2020-10-08,21964,738395,1126770,,,87959,44802,3913,1798005
2020-10-09,21274,782600,1117172,,,78663,52686,3700,1808079
2020-10-10,12627,716866,771088,,,44528,41409,1430,1170227
2020-10-11,9470,603801,564051,,,34593,28784,1049,848469
2020-10-12,15722,598916,767564,,,76776,39838,2237,1284655
2020-10-13,20909,667518,1063680,,,76552,42205,3670,1715183
2020-10-14,23169,719962,1162256,,,89173,45148,3956,1838682
2020-10-15,22834,757151,1152434,,,90288,46249,4069,1853753
2020-10-16,20776,715224,974110,,,83798,47291,3366,1671320
2020-10-17,11831,691236,778070,,,43768,37764,1588,1209473
2020-10-18,9998,655748,583350,,,34682,30690,1074,896812
2020-10-19,20812,683334,1105134,,,89186,44368,3570,1719153
2020-10-20,21936,688694,1119283,,,86591,42741,3859,1780231
2020-10-21,22959,704874,1140385,,,86210,44102,3848,1812949
2020-10-22,22391,738372,1140210,,,88686,45770,3927,1825208
2020-10-23,21766,769176,1123540,,,89931,51765,3680,1842588
2020-10-24,12916,699927,775122,,,43618,38673,,1185612
2020-10-25,10074,632680,572347,,,33678,28321,,885001
2020-10-26,20817,663499,1061566,,,86745,43557,3429,1690651
2020-10-27,21870,688233,1143906,,,87401,43340,3642,1815242
2020-10-28,23258,700135,1119450,,,86652,43289,3676,1819352
2020-10-29,20925,677257,987440,,,81794,41157,3539,1705072
2020-10-30,21243,718742,1030639,,,84254,47967,3270,1768018
2020-10-31,12816,643982,747636,,,41538,34077,20,1174059
2020-11-01,10180,573521,510820,,,29495,22602,3,786675
2020-11-02,21127,671888,1072262,,,87198,40609,3535,1747908
2020-11-03,20416,625256,1027710,,,82140,39749,3184,1602912
2020-11-04,22174,656967,1089354,,,81551,38818,3448,1690489
2020-11-05,22937,714654,1130774,,,86987,41550,3793,1793796
2020-11-06,22659,749668,1120729,,,89499,48138,3546,1837314
2020-11-07,13409,687679,752851,,,46368,35870,35,1246321
2020-11-08,10474,633243,587220,,,38485,27961,846,927670
2020-11-09,21444,675604,1111203,,,91681,42627,3561,1752614
2020-11-10,23138,699076,1151911,,,91532,43083,3848,1836902
2020-11-11,20263,622409,969123,,,83306,40073,3050,1614812
2020-11-12,22059,680988,1054132,,,86189,40381,3546,1776666
2020-11-13,22054,716046,1061680,,,86252,45127,3332,1816693
2020-11-14,12928,635637,755951,,,41422,31397,14,1215477
2020-11-15,9763,514867,528421,,,30948,20946,697,820858
2020-11-16,21851,658968,1079560,,,89463,41961,3532,1741750
2020-11-17,22524,664732,1092416,,,86965,40078,3584,1788847
2020-11-18,23390,678350,1065597,,,84069,39693,3495,1787688
2020-11-19,21780,698169,1056928,,,84662,40122,3529,1757535
2020-11-20,22945,736628,1079029,,,87402,44683,3473,1800423
2020-11-21,13193,645448,750801,,,39204,27716,19,1157957
2020-11-22,10694,517830,542124,,,31019,20269,92,817963
2020-11-23,21297,660835,1005225,,,87693,40668,3223,1646525
2020-11-24,22814,716305,1068789,,,89805,41772,3405,1735702
2020-11-25,21450,739563,1037242,,,93444,46209,3166,1688227
2020-11-26,12151,476637,444391,,,72572,20393,847,652276
2020-11-27,12395,579048,815993,,,77273,25009,2046,1263473
2020-11-28,10808,561092,689580,,,37770,24688,1203,1032823
2020-11-29,9360,548733,548548,,,32628,21898,826,826974
2020-11-30,19751,574662,849277,,,80033,37026,3035,1459131
2020-12-01,21693,855711,1068627,,,73589,35225,3432,1706348
2020-12-02,22712,748924,1026056,,,73631,35615,3277,1699968
2020-12-03,22941,769462,1070197,,,75093,37013,3325,1736045
2020-12-04,21960,777856,1024641,,,72062,39228,3121,1701628
2020-12-05,10151,573714,617332,,,33528,19727,996,1000240
2020-12-06,9904,591731,547330,,,35055,19652,885,878393
2020-12-07,21424,731655,1032813,,,77787,36890,3209,1656627
2020-12-08,22177,746111,1034410,,,75033,36403,3185,1540893
2020-12-09,22459,752016,1018247,,,74734,35917,3233,1701926
2020-12-10,22845,786581,1075970,,,76847,37600,3346,1761336
2020-12-11,22751,823997,1064457,,,79717,42420,3278,1786290
2020-12-12,12307,673151,703892,,,41791,24118,20,1091352
2020-12-13,10208,660776,582389,,,39293,22669,80,911439
2020-12-14,21333,725902,955525,,,75008,36057,2979,1584089
2020-12-15,23432,821393,1088287,,,78446,38322,3353,1783388
2020-12-16,19296,632195,853797,,,68092,33572,2899,1569079
2020-12-17,9940,298209,523854,,,21417,12527,1613,1079818
2020-12-18,17537,738425,943587,,,74908,41287,3063,1735664
2020-12-19,11589,653358,670787,,,41101,24217,25,1112827
2020-12-20,9585,556415,516593,,,32597,18767,736,821265
2020-12-21,21647,779140,1028489,,,81225,39814,3244,1716035
2020-12-22,22820,821140,1046799,,,82001,39579,3254,1760948
2020-12-23,23305,867193,1048565,,,84404,42100,3201,1772537
