zone,year,fhv,fhvhv,green,yellow,medallion_trips,total_trips,aggregator_share,log_medallion_trips,log_aggregator_trips,borough
19,2020,2496.0,95459.0,1001.0,802.0,1803.0,99758.0,0.9569057118226107,7.497207223203318,11.466452114913148,Queens
19,2021,1826.0,136369.0,768.0,936.0,1704.0,139899.0,0.9747675108471111,7.440733707389261,11.823119725833866,Queens
19,2022,3744.0,164327.0,42.0,463.0,505.0,168576.0,0.9747947513287776,6.22455842927536,12.009613624060297,Queens
19,2023,2823.0,192658.0,77.0,717.0,794.0,196275.0,0.981571774296268,6.677083461247136,12.168671875275692,Queens
19,2024,4790.0,207643.0,91.0,1535.0,1626.0,214059.0,0.9700269551852526,7.3938782901077555,12.243575537920014,Queens
19,2025,6160.0,225760.0,120.0,4066.0,4186.0,236106.0,0.9561806984998263,8.339500903005945,12.32722776708664,Queens
20,2019,60721.0,641008.0,6730.0,1730.0,8460.0,710189.0,0.9025879026568984,9.04310445260027,13.370797216324146,Bronx
20,2020,8061.0,508333.0,2302.0,1730.0,4032.0,520426.0,0.9767632670158678,8.302017809751204,13.13889202361762,Bronx
20,2021,6802.0,551741.0,1833.0,1709.0,3542.0,562085.0,0.9815970894081856,8.17244681834278,13.220834012250558,Bronx
20,2022,6032.0,585537.0,325.0,532.0,857.0,592426.0,0.9883715434501524,6.75343791859778,13.28028465387467,Bronx
20,2023,3611.0,655434.0,243.0,713.0,956.0,660001.0,0.9930803135146765,6.862757913051401,13.39305289061781,Bronx
20,2024,4468.0,697119.0,106.0,1692.0,1798.0,703385.0,0.9910916496655459,7.494430215031565,13.454711406876978,Bronx
20,2025,8249.0,734685.0,149.0,5151.0,5300.0,748234.0,0.9818920284296089,8.575462099540212,13.50719711490342,Bronx
21,2019,57858.0,553432.0,8459.0,3134.0,11593.0,622883.0,0.8885007296715435,9.358156746670401,13.22389416902171,Brooklyn
21,2020,12346.0,391249.0,2337.0,1626.0,3963.0,407558.0,0.9599836096948164,8.284756593190435,12.87709946492269,Brooklyn
21,2021,9226.0,454819.0,1554.0,1610.0,3164.0,467209.0,0.9734808190766873,8.059592328887545,13.027654816591001,Brooklyn
21,2022,11957.0,514953.0,248.0,562.0,810.0,527720.0,0.9758072462669598,6.697034247666484,13.151830913345309,Brooklyn
21,2023,10731.0,562548.0,256.0,757.0,1013.0,574292.0,0.9795504725818921,6.920671504248683,13.240231742753364,Brooklyn
21,2024,14031.0,592586.0,97.0,2043.0,2140.0,608757.0,0.9734360344111033,7.668561108015897,13.292251289137843,Brooklyn
21,2025,24194.0,653092.0,137.0,5548.0,5685.0,682971.0,0.9562514367374311,8.645586406184636,13.389473286543026,Brooklyn
22,2019,71179.0,730615.0,10445.0,3874.0,14319.0,816113.0,0.8952375467612941,9.569342605674006,13.501641924202913,Brooklyn
22,2020,13157.0,500875.0,3464.0,2428.0,5892.0,519924.0,0.9633619529008086,8.681350777582521,13.124111847938446,Brooklyn
22,2021,10002.0,607183.0,2274.0,2511.0,4785.0,621970.0,0.9762255414248275,8.473241303887054,13.31658550730667,Brooklyn
22,2022,13612.0,676639.0,105.0,627.0,732.0,690983.0,0.9792411680171582,6.595780513961311,13.42489317481447,Brooklyn
22,2023,10806.0,752159.0,77.0,950.0,1027.0,763992.0,0.9845116179227008,6.934397209928558,13.530703016752712,Brooklyn
22,2024,13550.0,783952.0,37.0,2977.0,3014.0,800516.0,0.9793083461167547,8.01102337918644,13.572103072968453,Brooklyn
22,2025,21648.0,867575.0,109.0,7872.0,7981.0,897204.0,0.9669762952461202,8.984818995876008,13.673457242397516,Brooklyn
23,2019,29603.0,272137.0,196.0,543.0,739.0,302479.0,0.8996889040230892,6.6052979209482015,12.514060894946306,Staten Island
23,2020,10457.0,186557.0,287.0,527.0,814.0,197828.0,0.9430262652405119,6.70196036600254,12.136492101397474,Staten Island
23,2021,10115.0,248533.0,929.0,765.0,1694.0,260342.0,0.9546404345053814,7.434847875211999,12.423330912482793,Staten Island
23,2022,20674.0,300566.0,9.0,841.0,850.0,322090.0,0.9331739575894936,6.745236349484363,12.613422642784823,Staten Island
23,2023,42471.0,345074.0,3.0,489.0,492.0,388037.0,0.8892811767949964,6.198478716492308,12.751514165766839,Staten Island
23,2024,45541.0,360548.0,2.0,135.0,137.0,406226.0,0.8875552032612388,4.919980925828125,12.795380375248671,Staten Island
23,2025,43251.0,387906.0,6.0,281.0,287.0,431444.0,0.8990877147439761,5.659482215759621,12.86851832121253,Staten Island
