zone,year,fhv,fhvhv,green,yellow,total,non_green_total,aggregator_share,log_fhvhv,log_green,log_yellow,post_covid,borough,outer_borough,green_turf
145,2025,15478.0,2108646.0,998.0,73922.0,2199044.0,2198046.0,0.9593275117991161,14.56155659330959,6.905753276311464,11.210765762226607,1,Queens,1,1
146,2019,61910.0,599867.0,27695.0,72188.0,761660.0,733965.0,0.8172964650902972,13.30446324295993,10.229007170467204,11.187029106081189,0,Queens,1,1
146,2020,8979.0,349485.0,4739.0,20925.0,384128.0,379389.0,0.921178526525545,12.764215921280043,8.463581421967588,9.948699895357676,0,Queens,1,1
146,2021,5949.0,454947.0,2309.0,19144.0,482349.0,480040.0,0.9477272727272728,13.027936207631873,7.744569809354496,9.85974462958821,1,Queens,1,1
146,2022,7778.0,561042.0,2355.0,21275.0,592450.0,590095.0,0.9507655546988197,13.237551048012651,7.764296006450518,9.965287953441575,1,Queens,1,1
146,2023,9004.0,587144.0,1569.0,16916.0,614633.0,613064.0,0.9577205642477784,13.28302538388723,7.358193752733032,9.73601519859238,1,Queens,1,1
146,2024,7566.0,596052.0,894.0,19022.0,623534.0,622640.0,0.9572979570859566,13.298083190563721,6.795705775173514,9.853351483042331,1,Queens,1,1
146,2025,7557.0,624812.0,972.0,37314.0,670655.0,669683.0,0.9329966566270907,13.345206083469144,6.879355804460439,10.527123870331945,1,Queens,1,1
147,2019,52195.0,471925.0,6953.0,2444.0,533517.0,526564.0,0.8962348356515067,13.064575353636934,8.846928500099018,7.8013913202914855,0,Bronx,1,1
147,2020,6920.0,436014.0,2357.0,1943.0,447234.0,444877.0,0.9800776394374175,12.985429631907397,7.7651449029361315,7.57198844937744,0,Bronx,1,1
147,2021,5172.0,428635.0,1764.0,1864.0,437435.0,435671.0,0.9838501988886109,12.968361019910104,7.475339236566737,7.530479995245536,1,Bronx,1,1
147,2022,5497.0,420636.0,218.0,419.0,426770.0,426552.0,0.9861306476115456,12.949523130599362,5.384495062789089,6.037870919922137,1,Bronx,1,1
147,2023,2886.0,462158.0,136.0,656.0,465836.0,465700.0,0.9923942452222461,13.043662102940157,4.912654885736052,6.486160788944089,1,Bronx,1,1
147,2024,4386.0,490796.0,85.0,1946.0,497213.0,497128.0,0.9872628377399785,13.103783841826433,4.442651256490317,7.57353126274595,1,Bronx,1,1
147,2025,8320.0,514286.0,116.0,5986.0,528708.0,528592.0,0.9729356479099192,13.150534809926427,4.7535901911063645,8.697178688412643,1,Bronx,1,1
148,2019,248464.0,2701876.0,163.0,1025766.0,3976269.0,3976106.0,0.6795281614725563,14.809456904517312,5.093750200806762,13.840950208525456,0,Manhattan,0,1
148,2020,3284.0,1138408.0,148.0,232448.0,1374288.0,1374140.0,0.8284512495087837,13.945141353139974,4.997212273764115,12.356421823080856,0,Manhattan,0,1
148,2021,7444.0,1641282.0,159.0,256631.0,1905516.0,1905357.0,0.8614039258784574,14.310988201743422,5.0689042022202315,12.455394534466816,1,Manhattan,0,1
